motion_coherence,reaction_time,correct,prior_std,raw_response_time
0.06,2.10554200000115,0,80,50.0269600000011
0.12,1.16431999998167,0,10,276.250876999984
0.06,0.867406000004848,1,40,10.2257970000064
0.06,1.28546400001505,0,40,175.978899000009
0.24,2.62880099999893,0,40,92.0495640000008
0.12,1.15311099999963,0,40,295.493149
0.24,1.08287800000107,0,80,178.385025
0.12,1.87914400000045,0,20,425.374287000001
0.06,1.6203260000002,1,20,296.686258
0.12,1.70610800000213,0,20,188.478161000001
0.12,2.62397400000191,0,40,371.962786000004
0.12,1.19414300000062,0,80,548.594309000007
0.06,3.15008400000079,1,40,650.445244
0.06,2.30487999999968,0,80,223.905234999998
0.24,1.49118799999997,0,80,250.809140999998
0.24,2.26480100001208,0,20,187.030742000003
0.06,1.73047800000131,1,80,8.67106000000058
0.24,1.60138100001495,1,10,93.4828529999941
0.12,1.29671200000303,0,80,430.289279000001
0.24,1.58333799999673,0,10,56.2188089999836
0.06,1.26410299999407,1,80,129.644047999987
0.06,1.42582899999979,1,80,91.7030759999998
0.06,2.19654000000446,1,40,71.7307360000123
0.06,2.29794600000059,0,80,53.8430430000008
0.06,0.946466999999757,1,10,205.377586000001
0.06,1.67416100000082,1,10,648.577578
0.06,1.38476700000137,1,80,599.519178
0.24,1.55967800000508,1,10,265.837412000008
0.12,2.26611199999934,0,80,505.395016
0.06,1.8820270000142,1,10,644.626772999996
0.24,1.64931100000103,1,10,7.23350100000062
0.06,1.483137000032,0,10,407.474714000011
0.06,1.08817800000543,0,80,227.450167000003
0.12,1.36393200000748,0,20,289.262671000004
0.06,0.726149000009173,0,40,367.81880400001
0.06,1.67713399999957,0,80,490.331075
0.06,1.43529600000329,0,80,159.665259000001
0.06,2.06029900000067,1,80,31.9227620000001
0.06,1.25534499999776,1,40,117.649751000004
0.24,1.16642400002456,0,20,295.134714000014
0.24,2.10558000003221,1,20,484.030747000012
0.06,1.32860500001698,0,20,309.502485000005
0.06,1.97829900000033,0,80,309.514019
0.06,1.00142100000085,1,80,59.0180080000009
0.06,2.01297100000011,1,10,450.009501
0.12,1.15317600002163,1,80,303.604086000007
0.06,1.06347000000096,0,40,642.845216
0.12,1.85506099999839,0,80,279.161028999999
0.12,1.41164999999455,0,10,333.293212999997
0.06,0.623342000006232,0,10,418.354720000003
0.06,0.944728000002215,0,20,239.278646999999
0.06,1.7913050000061,1,10,547.405482000002
0.24,2.26087299999199,1,10,551.189379999996
0.12,1.38627300000007,1,20,121.902257
0.06,1.00219700002344,0,10,188.778935000009
0.24,2.08484900000076,1,40,137.173244
0.12,1.86491800000113,1,10,403.281635000001
0.06,0.826817999999548,1,80,628.970851
0.06,1.11977000000115,0,40,382.285249
0.06,1.21935800000028,0,80,468.239071
0.12,1.74823999999899,1,20,622.574221999999
0.06,1.80043800000203,1,80,230.586005000001
0.06,0.730190000031143,0,10,281.62683600001
0.06,1.98238800000217,1,40,222.445267000001
0.12,1.66623299999628,1,20,110.662475999998
0.06,1.67300299999988,1,10,239.705582000001
0.24,1.32441900000049,0,80,332.578839000002
0.06,1.30758799999603,1,40,388.865906999999
0.24,1.79730700002983,0,80,22.6921220000077
0.06,1.89796300000125,0,80,658.991045000001
0.06,1.65911900000174,0,20,29.5341910000006
0.06,2.08544900000561,1,10,597.850971999986
0.06,1.98095400000057,1,20,303.206289
0.06,2.0055330000032,0,40,440.874806000007
0.06,1.65674900000158,0,20,198.066380000002
0.12,1.5292599999957,0,10,660.069373999999
0.24,1.49564099999952,0,80,147.179032
0.24,1.46968600000037,0,80,529.334922
0.12,1.71965800001635,1,20,318.518716999999
0.06,1.99324100001832,0,10,179.906866000005
0.12,1.40034800000103,0,80,697.514091000001
0.06,1.32975400000578,1,80,77.2200479999883
0.12,1.84025000000111,0,80,623.834854000001
0.12,1.9134580000009,0,10,113.985603000001
0.06,1.91484300000593,0,40,325.113837000012
0.06,1.06634699999995,1,80,464.882938000001
0.12,1.41287299999931,1,10,236.513525
0.12,1.38389300000563,1,40,100.617802000008
0.06,1.31145500000093,0,80,632.874059
0.12,1.42887600000176,0,80,709.009995
0.12,1.91436599999724,1,80,502.954243
0.06,1.06200400000671,1,10,143.38685499999
0.06,1.77898700000151,0,80,637.153387999999
0.24,1.28894199999922,0,80,236.266107000003
0.24,0.687466999996104,0,80,148.554411000005
0.06,1.30009700001392,0,10,244.853436000005
0.24,1.42967100000169,0,10,269.921537000002
0.06,1.37294199999997,1,10,223.825527000001
0.24,1.01069699999971,0,20,442.506644000001
0.06,1.28380000000107,0,40,604.90121
0.06,1.78722200001357,0,10,156.37090400001
0.06,1.70245400001295,0,20,541.31852500001
0.06,0.880025999998907,1,80,505.881240999999
0.06,1.78853999999956,1,40,171.909283999999
0.12,1.33008400001563,1,10,626.554908999999
0.24,1.4218600000022,0,10,233.245316
0.12,1.08842600000207,1,80,308.113288
0.06,1.45302400001674,0,10,351.413475000008
0.06,1.13470599999891,1,80,64.7790150000001
0.06,1.52412200000254,0,10,83.4851840000047
0.06,1.66944299999159,1,20,267.206586999993
0.12,2.50376500000129,1,40,189.245112000001
0.12,1.54759299999932,0,20,598.162592000001
0.06,2.42967900002259,1,80,115.516034
0.06,1.84260699999868,1,10,43.2109319999872
0.06,1.4408970000004,1,20,144.746618000001
0.12,1.18190500000492,0,80,322.730346000011
0.12,2.40395300000091,0,40,193.658936000007
0.06,1.79261300000144,1,80,603.025175999999
0.12,1.90606900000421,0,10,89.6372090000077
0.06,1.1082490000008,0,20,227.622006
0.06,1.44387900001311,0,80,56.4902450000081
0.12,1.29440799999975,0,40,80.4771309999996
0.12,1.83104399999138,1,10,570.642751999985
0.06,1.44402999999875,0,80,76.9611819999991
0.06,2.03492399999959,1,20,165.926318
0.06,1.10159099999873,1,80,387.618214000002
0.24,1.64765699999407,0,80,2.9561049999902
0.12,1.68893100000059,0,10,440.729641000002
0.06,2.14109599999938,0,80,259.511137
0.06,1.8651340000215,0,10,335.770710000012
0.06,1.32259000001068,1,80,569.906318000008
0.24,0.893726000000242,0,80,679.650852000001
0.12,1.45780299999933,1,80,392.898788
0.06,1.3137229999993,0,80,122.658927
0.06,1.3633220000047,1,10,487.669412000003
0.12,1.93156500000077,1,80,150.626012000001
0.06,1.47167300000001,0,80,5.55326399999831
0.06,1.43377800000053,0,20,534.670311
0.12,1.06567200000063,1,20,337.710129999999
0.12,1.5645829999994,0,80,290.031182999999
0.06,2.29969700000947,1,10,510.994737000001
0.12,1.35892200001399,1,20,103.686631999997
0.06,1.73238800000036,0,80,126.841186999998
0.06,1.25878700002795,1,10,170.90668700001
0.12,0.945295000001352,0,80,180.849102
0.06,0.947152000007918,0,20,586.254719999997
0.06,2.1588519999932,1,10,179.925319999995
0.24,1.08542000000125,0,80,455.486886000001
0.06,2.19413099999656,1,80,369.084176999982
0.12,3.12712000000101,0,20,380.102246
0.12,1.3026490000193,0,10,212.658854000008
0.06,2.06938400000217,1,40,81.1778400000039
0.06,1.49717099999543,1,80,567.066122000004
0.06,1.79804300000069,1,80,563.535030999999
0.12,0.887202000012621,1,10,182.314853999997
0.12,1.35997400002088,0,80,586.964168000006
0.06,1.77299700000731,0,80,351.842361000003
0.06,1.18476000000192,1,40,565.757234000001
0.06,1.53236000000106,0,40,620.349313000001
0.06,0.610544999999547,0,20,267.974074
0.12,1.63842400000431,0,80,362.978405000002
0.12,1.01010500002303,0,80,91.0361039999989
0.12,0.88902600000074,1,10,57.2255990000012
0.06,0.833592999988468,1,80,542.044166999985
0.24,1.9222490000102,1,40,300.393773000003
0.12,1.59105100000124,0,80,288.67374
0.06,1.13996700000098,0,80,284.346984000002
0.06,1.25953399999889,1,20,405.198302999999
0.06,0.983415000000605,1,20,203.066631000002
0.12,1.32199300000502,0,40,588.226823000005
0.12,1.54120999999941,0,80,316.843074
0.06,2.17983600000116,1,80,362.194817000001
0.06,1.27145200000086,0,80,585.954055
0.06,1.07140700000127,0,40,288.957243000001
0.06,1.11046499999975,1,10,437.529630000001
0.06,1.54525000000103,1,80,36.8469729999997
0.06,1.59219400000075,1,80,309.695094999999
